ENT,MUN,LOC,TIPOLOC,OTROTIPO_C,DIS_TRANS,AUTO,MICRO,CAMION,TAXI,BICI,BARCO,AUTOCAB,MICROCAB,CAMIONCAB,TAXICAB,BICICAB,BARCOCAB,TRANSPRIN,FRECUENCIA,TIEMPO,ABASTECIM,AGUACOB,AGUAFUEN,AGUAOFUEN_C,DRENAJE,DRENAJECOB,DDRENAJE,ODDRENAJE_C,LIMCALLE,RECBASURA,DESBASURA,ODESBASURA_C,ALUMBRADO,ENFUENTE,ENOFUENTE_C,ALUMBCOB,MANZANA,RECUBCOB,BANQUETAS,PLAZA,CANCHA,PARQUE,BIBLIOTECA,CULTURA,SALON,FRIJOL,MAIZ,TORTILLA,PAN,ARROZ,LECHE,HUEVO,CARNE,POLLO,PESCADO,FRUTA,TIANGUIS,ABARROTE,DICONSA,LICONSA,FARMACIA,PAPELERIA,FERRETERIA,ROPA,LOZA,MUEBLE,MATERIAL,GAS,GOB_EDO,GOB_MUN,ORG_NG,OTRO_CC,OTRO_CD_C,CLINICA,MEDICO,PARTERA,BRIGADA,PROMOTOR,CURANDERO,TELEFONO,INTERNET,SENALCEL,TELEVISIONA,TELEVISIONP,DINERO,LTRABAJO,ACTAGR_V,ACTAGR_CF,ACTAGR_NO,ACTPEC_V,ACTPEC_CF,ACTPEC_NO,ACTMIN_V,ACTMIN_CF,ACTMIN_NO,ACTFOR_V,ACTFOR_CF,ACTFOR_NO,ACTREC_V,ACTREC_CF,ACTREC_NO,ACTPES_V,ACTPES_CF,ACTPES_NO,ACTART_V,ACTART_CF,ACTART_NO,OTRAACT_V,OTRAACT_CF,OTRAACT_NO,OTRAACT_C,ACT_PRIN,OACT_PRIN_C,PRODUCTO_C1,PRODUCTO_C2,PRODUCTO_C3,AUTMUN,OTRAMUN_C,CEJIDAL,INDIGENA,TRADICIONAL,POLICIA,CONFLICTO1,CONFLICTO2,CONFLICTO3,CONFLICTO4,CONFLICTO5,OCONF,OCONF_D_C,SEQUIA,HELADA,INUNDACION,INCENDIO,TEMBLOR,CICLON,OTRO_DANO,OTRO_DANO_DES_C,AIRE,MOTOR,BASURERO,RUIDO,AGUA,A_NEGRA,RIOS,PESTICIDAS,TERRENOS,PLAGAS,OCONT,OCONT_D_C,HABLALI,USOESC,USOIGL,USOFEST,USOCOMP,USOFAM,USOHOG,PROBLEMA,PROBLEMA_O_C,POBTOT,TAMLOC,LOC_LENGUA40PC
20,002,0013,02,,3,,,,,,,,,,,,,,,,1,3,1,,3,,,,2,4,,,1,1,,1,3,,,2,4,6,8,2,4,1,3,5,7,1,3,5,7,1,3,5,2,3,5,8,2,4,2,4,6,8,2,4,1,4,6,8,,2,4,5,8,1,4,2,4,5,8,1,4,1,,02,,04,05,,,,09,,02,,,05,,07,08,,,,03,,,06,,6,,,,,5,106,1,4,6,7,2,4,6,8,2,4,,1,4,5,8,2,4,6,,2,4,6,8,1,4,6,8,2,4,6,,1,1,3,5,7,1,3,10,,482,3,1
20,002,0014,03,,3,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,4,7,,1,1,,2,1,4,4,2,4,6,8,2,3,1,3,5,7,1,3,5,8,1,4,6,2,4,5,8,2,4,2,4,6,8,2,3,2,4,6,8,,1,4,6,8,1,4,2,3,5,7,1,4,3,01,,,,05,,,,09,,,03,,,06,,,09,,,03,,,06,,1,,111027,,,3,,1,4,6,8,2,4,5,7,1,4,,1,4,6,8,2,4,5,111,2,4,6,8,2,4,6,8,2,4,6,,1,9,9,9,9,9,9,09,,821,4,3
20,002,0015,03,,1,2,4,5,8,2,4,,,3,,,,3,3,90,1,1,1,,1,3,5,,2,4,,,1,1,,3,1,5,4,2,3,6,8,2,3,2,4,5,8,2,4,6,8,2,4,6,2,3,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,7,2,4,2,4,5,7,1,4,1,01,,,,05,,,,09,01,,,,05,,,,09,,,03,,,06,,1,,111027,,,3,,1,4,6,7,2,4,6,8,2,4,,1,4,6,8,2,4,6,,2,4,6,8,1,4,6,8,2,4,6,,1,9,9,9,9,9,9,12,,287,3,3
20,002,0016,03,,1,1,4,6,8,2,4,1,,,,,,1,5,20,1,1,1,,3,,,,2,4,,,1,1,,4,1,5,5,2,4,6,8,2,4,2,4,6,8,2,3,5,8,2,4,6,2,3,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,1,4,2,4,5,7,1,4,1,01,,,,05,,,,09,,,03,,05,,,08,,,,03,,,06,,1,,111027,,,2,,2,4,6,8,2,4,6,8,2,4,,2,4,6,8,2,4,6,,2,3,6,7,2,4,6,8,2,4,6,,1,2,4,6,8,1,3,08,,152,2,3
20,002,0017,03,,1,1,4,6,8,2,4,1,,,,,,1,5,15,1,1,1,,1,1,1,,2,4,,,1,1,,1,1,5,4,1,3,6,8,2,3,1,3,5,8,1,3,5,8,2,4,6,2,3,6,8,2,4,2,4,6,8,2,3,2,4,6,8,,1,4,5,8,1,3,2,4,5,7,1,4,1,01,,,,,06,,,09,,,03,,05,,,,09,,,03,04,,,339,1,,111027,,,5,889,1,4,6,8,2,4,6,8,2,4,,1,4,6,8,2,4,6,,2,4,6,8,2,3,6,8,2,4,6,,1,2,4,6,8,1,3,02,,527,4,3
20,002,0018,02,,3,,,,,,,,,,,,,,,,1,1,1,,3,,,,2,4,,,1,1,,4,3,,,2,4,6,8,2,4,2,4,6,8,2,4,6,8,2,4,6,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,4,2,3,5,7,1,4,1,,02,,,,06,,,09,,,03,,,06,,,09,,,03,,,06,,1,,111027,,,1,,2,4,6,8,2,4,6,8,2,4,,1,4,6,8,2,4,6,,1,4,6,8,2,4,6,8,2,4,6,,1,9,9,9,9,9,9,07,,35,1,3
20,002,0019,03,,1,2,3,6,8,2,4,,3,,,,,2,5,75,1,1,1,,1,2,5,,2,4,,,1,1,,2,1,5,5,2,3,6,7,2,3,1,3,5,7,1,3,5,7,1,4,5,2,3,5,7,2,3,2,3,6,8,2,4,2,4,6,8,,1,4,6,7,1,4,2,4,5,7,1,4,1,,02,,04,,,,,09,,,03,04,,,,08,,,,03,,,06,,1,,111027,,,3,,1,4,6,7,2,3,6,8,1,4,,1,4,6,8,1,4,6,,2,4,6,8,2,4,6,8,2,4,6,,1,9,9,9,9,9,9,02,,793,4,3
20,002,0020,03,,1,1,3,6,8,2,4,1,1,,,,,2,3,15,1,1,5,,3,,,,2,4,,,1,1,,1,1,5,4,2,4,6,8,2,3,1,3,5,7,1,3,5,7,1,3,6,1,3,5,8,2,3,2,3,6,8,2,3,1,4,6,8,,1,4,6,8,2,4,2,4,5,8,1,4,1,01,,,,,06,,,09,,02,,,05,,,,09,,,03,,,06,,1,,111027,,,3,,1,4,6,7,1,4,6,7,2,4,,2,4,6,8,2,4,6,,2,4,6,8,1,4,5,8,2,4,6,,1,9,9,9,9,9,9,09,,1030,5,3
20,002,0022,03,,1,1,4,6,8,2,4,1,,,,,,1,3,10,1,2,1,,3,,,,2,4,,,1,1,,1,1,5,5,2,4,6,8,2,3,1,3,5,8,1,3,5,8,1,4,6,2,3,6,8,2,4,2,4,6,8,2,3,1,4,6,8,,1,4,6,8,2,4,2,4,5,8,1,4,1,01,,,,05,,,,09,,,03,,05,,,,09,,,03,,,06,,1,,111027,,,6,,1,4,6,8,2,4,5,8,1,4,,2,4,6,8,2,4,6,,2,4,6,8,2,3,6,8,2,4,6,,1,9,9,9,9,9,9,02,,375,3,3
20,002,0024,02,,3,,,,,,,,,,,,,,,,4,,,,3,,,,2,4,,,3,,,,3,,,2,4,6,8,2,4,2,4,6,8,2,4,6,8,2,4,6,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,2,4,6,8,2,4,2,4,5,7,1,4,1,01,,,,05,,,,09,,,03,,,06,,,09,,,03,,,06,,1,,111027,,,2,,1,4,6,8,2,4,6,8,2,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,1,9,9,9,9,9,9,03,,15,1,3
20,002,0026,03,,3,,,,,,,,,,,,,,,,4,,,,1,4,4,,2,4,,,1,1,,4,1,4,4,2,3,5,8,2,3,1,3,6,7,1,3,5,7,1,4,6,2,4,6,8,2,3,2,4,6,8,2,4,2,4,6,8,,1,4,6,8,1,4,2,4,6,7,1,4,1,,02,,,05,,,,09,,,03,,05,,,,09,,02,,,,06,,1,,111027,,,3,,1,4,6,8,2,4,6,8,2,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,1,9,9,9,9,9,9,05,,415,3,3
20,002,0027,03,,1,2,4,5,8,2,4,,,3,,,,3,4,60,1,1,1,,1,3,4,,2,4,,,3,,,,1,5,5,2,4,6,8,2,3,1,3,5,8,1,3,5,8,1,4,6,2,3,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,1,4,6,8,2,4,2,4,5,7,1,4,1,01,,,,,06,,,09,,02,,,05,,,,09,,,03,,,06,,1,,111027,,,4,,2,4,6,8,1,4,6,8,2,4,,1,4,6,8,2,4,6,,2,4,6,8,1,4,6,8,2,4,6,,3,,,,,,,03,,712,4,3
20,002,0028,03,,3,,,,,,,,,,,,,,,,1,1,1,,3,,,,1,4,7,,1,1,,2,1,5,5,2,4,6,8,2,4,2,4,6,8,2,4,6,8,2,4,6,2,4,6,8,2,4,2,4,6,8,2,4,2,4,6,8,,1,4,6,7,2,4,2,4,5,7,1,4,4,01,,,,,06,,,09,,,03,,,06,,,09,,,03,,,06,,1,,111027,,,3,,2,4,6,8,2,4,6,8,2,4,,2,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,4,6,,1,9,9,9,9,9,9,12,,869,4,3
20,002,0029,03,,1,2,4,5,8,2,4,,,3,,,,3,5,110,1,2,1,,3,,,,2,4,,,1,1,,4,1,5,4,2,4,6,8,2,3,1,3,5,8,1,3,5,7,1,3,5,2,3,6,8,2,3,1,4,6,8,2,3,2,4,6,8,,1,4,6,8,2,4,2,3,5,8,1,4,1,01,,,,05,,,,09,,02,,,05,,,08,,,,03,,,06,,1,,111096,111066,,3,,1,4,6,7,2,4,6,8,1,4,,1,4,6,8,2,4,6,,2,4,6,8,2,4,6,8,2,3,6,,1,1,3,5,7,1,3,03,,935,4,3
20,002,0030,03,,1,2,4,6,7,2,4,,,,3,,,4,,100,1,2,1,,1,4,1,,2,3,8,027,1,1,,3,1,5,5,2,3,5,8,2,3,1,3,5,8,1,3,5,7,1,3,5,1,3,6,8,2,3,2,4,6,8,2,3,1,4,6,8,,1,4,5,7,1,3,2,3,5,7,1,4,1,,02,,04,,,,,09,,,03,,05,,,08,,01,,,,,06,,1,,111027,,,3,,1,4,6,7,2,4,5,8,1,4,,1,4,6,8,2,4,6,,1,3,5,8,2,4,5,7,1,3,6,,1,2,3,6,8,1,3,03,,622,4,3
